"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12","12","0.1","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","https://yageogroup.com/content/datasheet/asset/file/KEM_C1049_GOLDMAX_C0G"
"D1,D2,D3","3","1N914","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"H1,H2,H3,H4","4","MountingHole","","","","MountingHole:MountingHole_3.2mm_M3","~"
"J1","1","Samtec SSW-104-03-F-S-RA","","","","Library:SAMTEC_SSW-104-03-F-S-RA","~"
"J2","1","Molex 901361106","","","","Library:CONN_SDA-90136_V_06_MOL","~"
"J3,J4","2","Screw_Terminal_01x01","","","","Library:KEYSTONE_8191","~"
"Q1,Q2,Q3","3","ZVN4206AV","","","","Package_TO_SOT_THT:TO-92S","https://www.diodes.com/assets/Datasheets/ZVN4206AV.pdf,~"
"R1,R3","2","4.7K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R2","1","100","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R4","1","470K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R5","1","100k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R6","1","1k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R7","1","10k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"RV1","1","100k","","","","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","~"
"RV2","1","10k","","","","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","~"
"U1,U2","2","NE555P","","","","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/ne555.pdf"
"U3,U5","2","4013","","","","Package_DIP:DIP-14_W7.62mm_Socket","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF"
"U4","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
